case_id,asset_id,technology,source_dataset,source_record_or_file,source_location,original_event_type,observation_type,feedback_provenance,observation_level,retrieval_partition,promotion_status,promotion_reason,evidence_strength,synthetic_demo_test_flag,field_verification_evidence,external_source_evidence,claims_relying_on_case,final_adjudication
REAL-PVDAQ-034-OUTAGE,PVDAQ-34,solar_inverter,NREL PVDAQ OEDI — System 34,"NREL OEDI PVDAQ System 34 (Andre Agassi Bldg A, Las Vegas NV)",Zenodo (Fraunhofer IEE / Plumley) / NREL OEDI,REAL_OPERATIONAL_EVENT,10-min SCADA / Status Codes / 15-min PV Telemetry,EXTERNAL_DATASET_ACADEMIC,DATASET_LOG_VERIFIED,real,ADMITTED_EXTERNAL_REAL,Audited external academic/open-data benchmark record with verified lineage,MEDIUM,FALSE,UNKNOWN (inverter breaker trip / grid interface trip reset).,NREL PVDAQ OEDI — System 34 (Public Domain / NREL OEDI),10-query retrieval benchmark; Operational inverter trip during midday solar peak historical analog,EXTERNAL_REAL (REAL_OPERATIONAL_EVENT)
REAL-PVDAQ-1283-CLIPPING,PVDAQ-1283,solar_inverter,NREL PVDAQ OEDI — System 1283,"NREL OEDI PVDAQ System 1283 (NREL RSF II, Golden CO)",Zenodo (Fraunhofer IEE / Plumley) / NREL OEDI,ENVIRONMENTAL_EVENT,10-min SCADA / Status Codes / 15-min PV Telemetry,EXTERNAL_DATASET_ACADEMIC,DATASET_LOG_VERIFIED,real,ADMITTED_EXTERNAL_REAL,Audited external academic/open-data benchmark record with verified lineage,MEDIUM,FALSE,None (designed operational behavior).,NREL PVDAQ OEDI — System 1283 (Public Domain / NREL OEDI),10-query retrieval benchmark; Inverter saturation / power clipping under clear-sky summer peak historical analog,EXTERNAL_REAL (ENVIRONMENTAL_EVENT)
REAL-CARE-C-044,CARE-WT-C02,wind_turbine,CARE to Compare — Wind Farm C,"Zenodo 10.5281/zenodo.14006163, event_info.csv ID 44",Zenodo (Fraunhofer IEE / Plumley) / NREL OEDI,REAL_MAINTENANCE_EVENT,10-min SCADA / Status Codes / 15-min PV Telemetry,EXTERNAL_DATASET_ACADEMIC,DATASET_LOG_VERIFIED,real,ADMITTED_EXTERNAL_REAL,Audited external academic/open-data benchmark record with verified lineage,MEDIUM,FALSE,Manual correction of cooling valve position.,CARE to Compare — Wind Farm C (CC-BY-SA-4.0),10-query retrieval benchmark; Post-service human error: Cooling water valve left in wrong position historical analog,EXTERNAL_REAL (REAL_MAINTENANCE_EVENT)
REAL-CARE-A-025-NORM,CARE-WT-A05,wind_turbine,CARE to Compare — Wind Farm A,"Zenodo 10.5281/zenodo.14006163, event_info.csv ID 25",Zenodo (Fraunhofer IEE / Plumley) / NREL OEDI,REAL_OPERATIONAL_EVENT,10-min SCADA / Status Codes / 15-min PV Telemetry,EXTERNAL_DATASET_ACADEMIC,DATASET_LOG_VERIFIED,real,ADMITTED_EXTERNAL_REAL,Audited external academic/open-data benchmark record with verified lineage,MEDIUM,FALSE,None (routine operation).,CARE to Compare — Wind Farm A (CC-BY-SA-4.0),10-query retrieval benchmark; Labelled healthy baseline reference period historical analog,EXTERNAL_REAL (REAL_OPERATIONAL_EVENT)
CASE-S-001,INV-004,solar_inverter,RAI Internal Incident Logs (knowledge/incidents/),incident-log-solar-inverter,Internal repository codebase (rai/memory/library.py),SYNTHETIC_SCENARIO,Synthesized 10-feature trajectory signature vector,INTERNAL_SYNTHETIC,INTERNAL_SIMULATION,synthetic,REJECTED_INTERNAL_SYNTHETIC,Authored illustrative scenario for project demonstration; not an external dataset record,SYNTHETIC_BENCHMARK_ONLY,TRUE,None (simulated physical inspection narrative),None (internal project documentation),Synthetic partition retrieval; misreported as 'PVPMC real' in prior docs,INTERNAL_SYNTHETIC (Category C: synthetic scenario; mislabeled in prior docs)
CASE-S-002,INV-018,solar_inverter,RAI Internal Incident Logs (knowledge/incidents/),incident-log-solar-inverter,Internal repository codebase (rai/memory/library.py),SYNTHETIC_SCENARIO,Synthesized 10-feature trajectory signature vector,INTERNAL_SYNTHETIC,INTERNAL_SIMULATION,synthetic,REJECTED_INTERNAL_SYNTHETIC,Authored illustrative scenario for project demonstration; not an external dataset record,SYNTHETIC_BENCHMARK_ONLY,TRUE,None (simulated physical inspection narrative),None (internal project documentation),Synthetic partition retrieval; misreported as 'PVPMC real' in prior docs,INTERNAL_SYNTHETIC (Category C: synthetic scenario; mislabeled in prior docs)
CASE-S-003,INV-009,solar_inverter,RAI Internal Incident Logs (knowledge/incidents/),incident-log-solar-inverter,Internal repository codebase (rai/memory/library.py),SYNTHETIC_SCENARIO,Synthesized 10-feature trajectory signature vector,INTERNAL_SYNTHETIC,INTERNAL_SIMULATION,synthetic,REJECTED_INTERNAL_SYNTHETIC,Authored illustrative scenario for project demonstration; not an external dataset record,SYNTHETIC_BENCHMARK_ONLY,TRUE,None (simulated physical inspection narrative),None (internal project documentation),Synthetic partition retrieval; misreported as 'PVPMC real' in prior docs,INTERNAL_SYNTHETIC (Category C: synthetic scenario; mislabeled in prior docs)
CASE-S-004,INV-021,solar_inverter,RAI Internal Incident Logs (knowledge/incidents/),incident-log-solar-inverter,Internal repository codebase (rai/memory/library.py),SYNTHETIC_SCENARIO,Synthesized 10-feature trajectory signature vector,INTERNAL_SYNTHETIC,INTERNAL_SIMULATION,synthetic,REJECTED_INTERNAL_SYNTHETIC,Authored illustrative scenario for project demonstration; not an external dataset record,SYNTHETIC_BENCHMARK_ONLY,TRUE,None (simulated physical inspection narrative),None (internal project documentation),Synthetic partition retrieval; misreported as 'PVPMC real' in prior docs,INTERNAL_SYNTHETIC (Category C: synthetic scenario; mislabeled in prior docs)
CASE-S-005,INV-013,solar_inverter,RAI Internal Incident Logs (knowledge/incidents/),solar-soiling-cleaning-sop,Internal repository codebase (rai/memory/library.py),SYNTHETIC_SCENARIO,Synthesized 10-feature trajectory signature vector,INTERNAL_SYNTHETIC,INTERNAL_SIMULATION,synthetic,REJECTED_INTERNAL_SYNTHETIC,Authored illustrative scenario for project demonstration; not an external dataset record,SYNTHETIC_BENCHMARK_ONLY,TRUE,None (simulated physical inspection narrative),None (internal project documentation),Synthetic partition retrieval; misreported as 'PVPMC real' in prior docs,INTERNAL_SYNTHETIC (Category C: synthetic scenario; mislabeled in prior docs)
CASE-S-006,INV-002,solar_inverter,RAI Internal Incident Logs (knowledge/incidents/),scada-sensor-validation-sop,Internal repository codebase (rai/memory/library.py),SYNTHETIC_SCENARIO,Synthesized 10-feature trajectory signature vector,INTERNAL_SYNTHETIC,INTERNAL_SIMULATION,synthetic,REJECTED_INTERNAL_SYNTHETIC,Authored illustrative scenario for project demonstration; not an external dataset record,SYNTHETIC_BENCHMARK_ONLY,TRUE,None (simulated physical inspection narrative),None (internal project documentation),Synthetic partition retrieval; misreported as 'PVPMC real' in prior docs,INTERNAL_SYNTHETIC (Category C: synthetic scenario; mislabeled in prior docs)
CASE-W-001,WT-006,wind_turbine,RAI Internal Incident Logs (knowledge/incidents/),incident-log-wind-gearbox,Internal repository codebase (rai/memory/library.py),SYNTHETIC_SCENARIO,Synthesized 10-feature trajectory signature vector,INTERNAL_SYNTHETIC,INTERNAL_SIMULATION,synthetic,REJECTED_INTERNAL_SYNTHETIC,Authored illustrative scenario for project demonstration; not an external dataset record,SYNTHETIC_BENCHMARK_ONLY,TRUE,None (simulated physical inspection narrative),None (internal project documentation),Synthetic partition retrieval baseline,INTERNAL_SYNTHETIC (Authored synthetic scenario)
CASE-W-002,WT-012,wind_turbine,RAI Internal Incident Logs (knowledge/incidents/),incident-log-wind-gearbox,Internal repository codebase (rai/memory/library.py),SYNTHETIC_SCENARIO,Synthesized 10-feature trajectory signature vector,INTERNAL_SYNTHETIC,INTERNAL_SIMULATION,synthetic,REJECTED_INTERNAL_SYNTHETIC,Authored illustrative scenario for project demonstration; not an external dataset record,SYNTHETIC_BENCHMARK_ONLY,TRUE,None (simulated physical inspection narrative),None (internal project documentation),Synthetic partition retrieval baseline,INTERNAL_SYNTHETIC (Authored synthetic scenario)
CASE-W-003,WT-003,wind_turbine,RAI Internal Incident Logs (knowledge/incidents/),incident-log-wind-gearbox,Internal repository codebase (rai/memory/library.py),SYNTHETIC_SCENARIO,Synthesized 10-feature trajectory signature vector,INTERNAL_SYNTHETIC,INTERNAL_SIMULATION,synthetic,REJECTED_INTERNAL_SYNTHETIC,Authored illustrative scenario for project demonstration; not an external dataset record,SYNTHETIC_BENCHMARK_ONLY,TRUE,None (simulated physical inspection narrative),None (internal project documentation),Synthetic partition retrieval baseline,INTERNAL_SYNTHETIC (Authored synthetic scenario)
CASE-W-004,WT-009,wind_turbine,RAI Internal Incident Logs (knowledge/incidents/),incident-log-wind-gearbox,Internal repository codebase (rai/memory/library.py),SYNTHETIC_SCENARIO,Synthesized 10-feature trajectory signature vector,INTERNAL_SYNTHETIC,INTERNAL_SIMULATION,synthetic,REJECTED_INTERNAL_SYNTHETIC,Authored illustrative scenario for project demonstration; not an external dataset record,SYNTHETIC_BENCHMARK_ONLY,TRUE,None (simulated physical inspection narrative),None (internal project documentation),Synthetic partition retrieval baseline,INTERNAL_SYNTHETIC (Authored synthetic scenario)
CASE-W-005,WT-016,wind_turbine,RAI Internal Incident Logs (knowledge/incidents/),incident-log-wind-gearbox,Internal repository codebase (rai/memory/library.py),SYNTHETIC_SCENARIO,Synthesized 10-feature trajectory signature vector,INTERNAL_SYNTHETIC,INTERNAL_SIMULATION,synthetic,REJECTED_INTERNAL_SYNTHETIC,Authored illustrative scenario for project demonstration; not an external dataset record,SYNTHETIC_BENCHMARK_ONLY,TRUE,None (simulated physical inspection narrative),None (internal project documentation),Synthetic partition retrieval baseline,INTERNAL_SYNTHETIC (Authored synthetic scenario)
CASE-W-006,WT-005,wind_turbine,RAI Internal Incident Logs (knowledge/incidents/),incident-log-wind-gearbox,Internal repository codebase (rai/memory/library.py),SYNTHETIC_SCENARIO,Synthesized 10-feature trajectory signature vector,INTERNAL_SYNTHETIC,INTERNAL_SIMULATION,synthetic,REJECTED_INTERNAL_SYNTHETIC,Authored illustrative scenario for project demonstration; not an external dataset record,SYNTHETIC_BENCHMARK_ONLY,TRUE,None (simulated physical inspection narrative),None (internal project documentation),Synthetic partition retrieval baseline,INTERNAL_SYNTHETIC (Authored synthetic scenario)
CASE-W-007,WT-011,wind_turbine,RAI Internal Incident Logs (knowledge/incidents/),scada-sensor-validation-sop,Internal repository codebase (rai/memory/library.py),SYNTHETIC_SCENARIO,Synthesized 10-feature trajectory signature vector,INTERNAL_SYNTHETIC,INTERNAL_SIMULATION,synthetic,REJECTED_INTERNAL_SYNTHETIC,Authored illustrative scenario for project demonstration; not an external dataset record,SYNTHETIC_BENCHMARK_ONLY,TRUE,None (simulated physical inspection narrative),None (internal project documentation),Synthetic partition retrieval baseline,INTERNAL_SYNTHETIC (Authored synthetic scenario)
CASE-W-008,WT-002,wind_turbine,RAI Internal Incident Logs (knowledge/incidents/),grid-curtailment-policy,Internal repository codebase (rai/memory/library.py),SYNTHETIC_SCENARIO,Synthesized 10-feature trajectory signature vector,INTERNAL_SYNTHETIC,INTERNAL_SIMULATION,synthetic,REJECTED_INTERNAL_SYNTHETIC,Authored illustrative scenario for project demonstration; not an external dataset record,SYNTHETIC_BENCHMARK_ONLY,TRUE,None (simulated physical inspection narrative),None (internal project documentation),Synthetic partition retrieval baseline,INTERNAL_SYNTHETIC (Authored synthetic scenario)
