source_farm,target_farm,condition,dataset_file,event_id,turbine_id,label,fault_category,alarms_count,event_detected,max_criticality,coverage_fbeta,lead_time_steps,earliness_ws,accuracy
Wind Farm A,Wind Farm C,FROZEN_SOURCE,11.csv,11,CARE-WT-43,anomaly_event,P20_DGUV-v3 RCD 28F1 NC310 defective + 0 : P20_Blades_Cabinet Caps missing,1425,True,894.0,0.12043010752688173,3107,0.2555424842374626,
Wind Farm A,Wind Farm C,FROZEN_SOURCE,12.csv,12,CARE-WT-2,anomaly_event,"10115 : Oil level error, two-pump mode + Oil Leakage Gear Oil Supply + 12019: Rotor brake B cannot be closed + P20_yaw carbon brush damaged",215,True,130.0,0.010090817356205853,3259,0.06817286719132258,
Wind Farm A,Wind Farm C,FROZEN_SOURCE,15.csv,15,CARE-WT-12,anomaly_event,Randomn small failures regarding pitch resulting in a longer standstill due to a defect pitch encoder (26/02),15,False,3.0,0.022267206477732792,825,0.0053699581293630075,
Wind Farm A,Wind Farm C,FROZEN_SOURCE,16.csv,16,CARE-WT-53,anomaly_event,WEC in failure - hub battery charger defect,1640,True,1421.0,0.047619047619047616,2038,0.8416380710543775,
Wind Farm A,Wind Farm C,FROZEN_SOURCE,18.csv,18,CARE-WT-34,anomaly_event,We had some failures (störung 24VAC Versorgung Rotorbremse) on the 16th in the afternoon. From 17th onwards a longer standstill where we don't know the root cause to. ,642,True,506.0,0.0,-265,0.0005075406032482597,
Wind Farm A,Wind Farm C,FROZEN_SOURCE,28.csv,28,CARE-WT-52,anomaly_event,P20_spinner_carbonbrush defekt + P20_Accumulators_hydraulic system,323,True,220.0,0.00419639110365086,1959,0.12763507292798382,
Wind Farm A,Wind Farm C,FROZEN_SOURCE,30.csv,30,CARE-WT-16,anomaly_event,Pitch failure - defect fan on pitch motor,2495,True,2155.0,0.08528784648187633,3160,0.7643190763750054,
Wind Farm A,Wind Farm C,FROZEN_SOURCE,31.csv,31,CARE-WT-35,anomaly_event,Communication and Pitchfailure - slip ring and Beckhoff card,606,True,486.0,0.0,667,0.6914511853075653,
Wind Farm A,Wind Farm C,FROZEN_SOURCE,33.csv,33,CARE-WT-43,anomaly_event,P20_Blade3_Grease Collector missing,949,True,757.0,0.024219590958019375,1305,0.23361779680629483,
Wind Farm A,Wind Farm C,FROZEN_SOURCE,35.csv,35,CARE-WT-53,anomaly_event,"Turbine had several short standstills (max 8min) with failure ""Schwingungen Umrichter Drehmomenten Level 1""",218,True,202.0,0.005611672278338945,171,0.002893271483726534,
Wind Farm A,Wind Farm C,FROZEN_SOURCE,39.csv,39,CARE-WT-52,anomaly_event,15004 : Safety chain relay open + 93005 : Gear oil cooler bypass valve,483,True,470.0,0.04,234,0.5774440328953551,
Wind Farm A,Wind Farm C,FROZEN_SOURCE,4.csv,4,CARE-WT-34,anomaly_event,23020 : Axis 3 not ready-to-operate,310,True,261.0,0.0,2177,0.023440961315184024,
Wind Farm A,Wind Farm C,FROZEN_SOURCE,44.csv,44,CARE-WT-44,anomaly_event,Valve in water cooling system was left in wrong position after maintenance actions on 05-08-2020,726,True,455.0,0.003399818676337262,9291,0.03596786121617526,
Wind Farm A,Wind Farm C,FROZEN_SOURCE,47.csv,47,CARE-WT-21,anomaly_event,"Failure due to Rotorbrake and Hydraulic problemes - Hydraulic pump A disabeld, 2h later turbine back in production - Data shows anomaly in temp_hydraulic_oil_tank_1_average until 15.01.2023",61,False,17.0,0.012376237623762377,700,0.028221271586382313,
Wind Farm A,Wind Farm C,FROZEN_SOURCE,49.csv,49,CARE-WT-33,anomaly_event,Failure 2023-04-05 03:30 - defective coupling between gear oil pump and motor,472,True,441.0,0.0,,0.0,
Wind Farm A,Wind Farm C,FROZEN_SOURCE,5.csv,5,CARE-WT-32,anomaly_event,WEC in failure - current measurement own consumption,253,True,153.0,0.039525691699604744,246,0.2721577136601767,
Wind Farm A,Wind Farm C,FROZEN_SOURCE,55.csv,55,CARE-WT-50,anomaly_event,Harting plug Nacelle/HUB damaged + NCR20_HUB: Wiring blade control system,135,False,50.0,0.11123897199846566,2162,0.051129893960374526,
Wind Farm A,Wind Farm C,FROZEN_SOURCE,66.csv,66,CARE-WT-12,anomaly_event,"Pitchfailure - defect Beckhoffcard, Axis 2, rectified on 23/01 - Anomalie liegt aber länger an als der Fehler, Batterien waren ok",663,True,550.0,0.0,772,0.6351949116658708,
Wind Farm A,Wind Farm C,FROZEN_SOURCE,67.csv,67,CARE-WT-35,anomaly_event,Turbine has some issues with overpressure on the main transformer,245,False,57.0,0.05352311492765557,8035,0.027053175330551134,
Wind Farm A,Wind Farm C,FROZEN_SOURCE,70.csv,70,CARE-WT-23,anomaly_event,"21002 : Axis 1 DC-link voltage low, batt",234,True,207.0,0.0056625141562853904,2902,0.029144341446732863,
Wind Farm A,Wind Farm C,FROZEN_SOURCE,76.csv,76,CARE-WT-53,anomaly_event,WEC in failure with pitch battery issues - rewiring,106,False,61.0,0.025,-70,0.20673002370350674,
Wind Farm A,Wind Farm C,FROZEN_SOURCE,78.csv,78,CARE-WT-15,anomaly_event,P20_Grounding role brake disc + P20_cover-lightning-main-cabinet-hub,79,False,70.0,0.01968503937007874,230,0.041761556443707104,
Wind Farm A,Wind Farm C,FROZEN_SOURCE,79.csv,79,CARE-WT-16,anomaly_event,Communication fault BK1120 in NC300,119,True,115.0,0.0,-25,0.224724146779574,
Wind Farm A,Wind Farm C,FROZEN_SOURCE,81.csv,81,CARE-WT-38,anomaly_event,"Converter Failure from 17.11 12:30 - 18.11. 13:57, Fuse Filter Supply ",176,True,167.0,0.13100436681222707,79,0.299682853910795,
Wind Farm A,Wind Farm C,FROZEN_SOURCE,9.csv,9,CARE-WT-55,anomaly_event,PENDING19_PREV_YAW_Grease pump defective,65,False,29.0,0.0,1126,0.0026544257060173632,
Wind Farm A,Wind Farm C,FROZEN_SOURCE,90.csv,90,CARE-WT-56,anomaly_event,COMMUNICATION FAULT BK1120 IN NC300 A2,343,True,288.0,0.020026702269692925,1084,0.14556367267290454,
Wind Farm A,Wind Farm C,FROZEN_SOURCE,91.csv,91,CARE-WT-42,anomaly_event,23020 : Axis 3 not ready-to-operate,414,True,268.0,0.018670649738610903,2588,0.030389603283869998,
Wind Farm A,Wind Farm C,TARGET_NORMAL_CALIBRATED,11.csv,11,CARE-WT-43,anomaly_event,P20_DGUV-v3 RCD 28F1 NC310 defective + 0 : P20_Blades_Cabinet Caps missing,770,True,359.0,0.039188566159520516,2947,0.18379834658979124,
Wind Farm A,Wind Farm C,TARGET_NORMAL_CALIBRATED,12.csv,12,CARE-WT-2,anomaly_event,"10115 : Oil level error, two-pump mode + Oil Leakage Gear Oil Supply + 12019: Rotor brake B cannot be closed + P20_yaw carbon brush damaged",47,False,37.0,0.0,3259,0.017810872695085696,
Wind Farm A,Wind Farm C,TARGET_NORMAL_CALIBRATED,15.csv,15,CARE-WT-12,anomaly_event,Randomn small failures regarding pitch resulting in a longer standstill due to a defect pitch encoder (26/02),2,False,1.0,0.0,,0.0,
Wind Farm A,Wind Farm C,TARGET_NORMAL_CALIBRATED,16.csv,16,CARE-WT-53,anomaly_event,WEC in failure - hub battery charger defect,1337,True,914.0,0.03215434083601286,2038,0.6795189646100703,
Wind Farm A,Wind Farm C,TARGET_NORMAL_CALIBRATED,18.csv,18,CARE-WT-34,anomaly_event,We had some failures (störung 24VAC Versorgung Rotorbremse) on the 16th in the afternoon. From 17th onwards a longer standstill where we don't know the root cause to. ,499,True,478.0,0.017825311942959002,-240,0.004100605826243877,
Wind Farm A,Wind Farm C,TARGET_NORMAL_CALIBRATED,28.csv,28,CARE-WT-52,anomaly_event,P20_spinner_carbonbrush defekt + P20_Accumulators_hydraulic system,180,True,139.0,0.002101723413198823,1845,0.08150284325107068,
Wind Farm A,Wind Farm C,TARGET_NORMAL_CALIBRATED,30.csv,30,CARE-WT-16,anomaly_event,Pitch failure - defect fan on pitch motor,2370,True,1935.0,0.044543429844097995,3160,0.6709738798518787,
Wind Farm A,Wind Farm C,TARGET_NORMAL_CALIBRATED,31.csv,31,CARE-WT-35,anomaly_event,Communication and Pitchfailure - slip ring and Beckhoff card,312,True,215.0,0.01984126984126984,667,0.3898669330566975,
Wind Farm A,Wind Farm C,TARGET_NORMAL_CALIBRATED,33.csv,33,CARE-WT-43,anomaly_event,P20_Blade3_Grease Collector missing,546,True,300.0,0.002738225629791895,1305,0.1462508678546633,
Wind Farm A,Wind Farm C,TARGET_NORMAL_CALIBRATED,35.csv,35,CARE-WT-53,anomaly_event,"Turbine had several short standstills (max 8min) with failure ""Schwingungen Umrichter Drehmomenten Level 1""",6,False,6.0,0.0,,0.0,
Wind Farm A,Wind Farm C,TARGET_NORMAL_CALIBRATED,39.csv,39,CARE-WT-52,anomaly_event,15004 : Safety chain relay open + 93005 : Gear oil cooler bypass valve,417,True,354.0,0.0,234,0.49222370028236995,
Wind Farm A,Wind Farm C,TARGET_NORMAL_CALIBRATED,4.csv,4,CARE-WT-34,anomaly_event,23020 : Axis 3 not ready-to-operate,181,True,155.0,0.0,-414,4.16693377780628e-05,
Wind Farm A,Wind Farm C,TARGET_NORMAL_CALIBRATED,44.csv,44,CARE-WT-44,anomaly_event,Valve in water cooling system was left in wrong position after maintenance actions on 05-08-2020,327,True,179.0,0.0005681818181818182,5577,0.008304728228232366,
Wind Farm A,Wind Farm C,TARGET_NORMAL_CALIBRATED,47.csv,47,CARE-WT-21,anomaly_event,"Failure due to Rotorbrake and Hydraulic problemes - Hydraulic pump A disabeld, 2h later turbine back in production - Data shows anomaly in temp_hydraulic_oil_tank_1_average until 15.01.2023",61,False,6.0,0.0,692,0.009948392386037565,
Wind Farm A,Wind Farm C,TARGET_NORMAL_CALIBRATED,49.csv,49,CARE-WT-33,anomaly_event,Failure 2023-04-05 03:30 - defective coupling between gear oil pump and motor,86,False,59.0,0.0,,0.0,
Wind Farm A,Wind Farm C,TARGET_NORMAL_CALIBRATED,5.csv,5,CARE-WT-32,anomaly_event,WEC in failure - current measurement own consumption,222,True,152.0,0.019455252918287938,246,0.2378215654077723,
Wind Farm A,Wind Farm C,TARGET_NORMAL_CALIBRATED,55.csv,55,CARE-WT-50,anomaly_event,Harting plug Nacelle/HUB damaged + NCR20_HUB: Wiring blade control system,97,False,43.0,0.050586806960744635,2163,0.03805228426263065,
Wind Farm A,Wind Farm C,TARGET_NORMAL_CALIBRATED,66.csv,66,CARE-WT-12,anomaly_event,"Pitchfailure - defect Beckhoffcard, Axis 2, rectified on 23/01 - Anomalie liegt aber länger an als der Fehler, Batterien waren ok",308,True,277.0,0.0,772,0.4233431532416208,
Wind Farm A,Wind Farm C,TARGET_NORMAL_CALIBRATED,67.csv,67,CARE-WT-35,anomaly_event,Turbine has some issues with overpressure on the main transformer,233,True,78.0,0.03057187387603405,8030,0.01924343951152101,
Wind Farm A,Wind Farm C,TARGET_NORMAL_CALIBRATED,70.csv,70,CARE-WT-23,anomaly_event,"21002 : Axis 1 DC-link voltage low, batt",60,False,25.0,0.0,201,0.0026870253770571056,
Wind Farm A,Wind Farm C,TARGET_NORMAL_CALIBRATED,76.csv,76,CARE-WT-53,anomaly_event,WEC in failure with pitch battery issues - rewiring,143,True,134.0,0.025510204081632654,-70,0.20673002370350674,
Wind Farm A,Wind Farm C,TARGET_NORMAL_CALIBRATED,78.csv,78,CARE-WT-15,anomaly_event,P20_Grounding role brake disc + P20_cover-lightning-main-cabinet-hub,5,False,3.0,0.0,230,0.008958600407209109,
Wind Farm A,Wind Farm C,TARGET_NORMAL_CALIBRATED,79.csv,79,CARE-WT-16,anomaly_event,Communication fault BK1120 in NC300,57,False,48.0,0.0,-25,0.15037208108801642,
Wind Farm A,Wind Farm C,TARGET_NORMAL_CALIBRATED,81.csv,81,CARE-WT-38,anomaly_event,"Converter Failure from 17.11 12:30 - 18.11. 13:57, Fuse Filter Supply ",221,True,168.0,0.6356968215158925,75,0.4683762928248222,
Wind Farm A,Wind Farm C,TARGET_NORMAL_CALIBRATED,9.csv,9,CARE-WT-55,anomaly_event,PENDING19_PREV_YAW_Grease pump defective,19,False,19.0,0.0,-413,4.946134855932976e-05,
Wind Farm A,Wind Farm C,TARGET_NORMAL_CALIBRATED,90.csv,90,CARE-WT-56,anomaly_event,COMMUNICATION FAULT BK1120 IN NC300 A2,231,True,124.0,0.0,1082,0.07274959112190535,
Wind Farm A,Wind Farm C,TARGET_NORMAL_CALIBRATED,91.csv,91,CARE-WT-42,anomaly_event,23020 : Axis 3 not ready-to-operate,324,True,252.0,0.003977724741447892,1260,0.024803028876373895,
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,11.csv,11,CARE-WT-43,anomaly_event,P20_DGUV-v3 RCD 28F1 NC310 defective + 0 : P20_Blades_Cabinet Caps missing,230,False,36.0,0.02564102564102564,2413,0.06883534555791553,
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,12.csv,12,CARE-WT-2,anomaly_event,"10115 : Oil level error, two-pump mode + Oil Leakage Gear Oil Supply + 12019: Rotor brake B cannot be closed + P20_yaw carbon brush damaged",5,False,5.0,0.0,2978,0.0020458265139116204,
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,15.csv,15,CARE-WT-12,anomaly_event,Randomn small failures regarding pitch resulting in a longer standstill due to a defect pitch encoder (26/02),0,False,0.0,0.0,,0.0,
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,16.csv,16,CARE-WT-53,anomaly_event,WEC in failure - hub battery charger defect,832,True,448.0,0.0,1699,0.4143181090293505,
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,18.csv,18,CARE-WT-34,anomaly_event,We had some failures (störung 24VAC Versorgung Rotorbremse) on the 16th in the afternoon. From 17th onwards a longer standstill where we don't know the root cause to. ,370,True,321.0,0.008976660682226212,-249,0.002481309615880381,
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,28.csv,28,CARE-WT-52,anomaly_event,P20_spinner_carbonbrush defekt + P20_Accumulators_hydraulic system,18,False,6.0,0.002101723413198823,1792,0.008203258836109483,
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,30.csv,30,CARE-WT-16,anomaly_event,Pitch failure - defect fan on pitch motor,1402,True,678.0,0.033707865168539325,2896,0.3628750478883163,
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,31.csv,31,CARE-WT-35,anomaly_event,Communication and Pitchfailure - slip ring and Beckhoff card,96,True,72.0,0.021929824561403508,667,0.12540822991508818,
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,33.csv,33,CARE-WT-43,anomaly_event,P20_Blade3_Grease Collector missing,18,False,12.0,0.0,1305,0.00779012059965543,
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,35.csv,35,CARE-WT-53,anomaly_event,"Turbine had several short standstills (max 8min) with failure ""Schwingungen Umrichter Drehmomenten Level 1""",0,False,0.0,0.0,,0.0,
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,39.csv,39,CARE-WT-52,anomaly_event,15004 : Safety chain relay open + 93005 : Gear oil cooler bypass valve,135,True,81.0,0.0,1,0.13097810767640702,
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,4.csv,4,CARE-WT-34,anomaly_event,23020 : Axis 3 not ready-to-operate,86,False,62.0,0.0,,0.0,
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,44.csv,44,CARE-WT-44,anomaly_event,Valve in water cooling system was left in wrong position after maintenance actions on 05-08-2020,65,False,28.0,0.0,5575,0.0009892594686263425,
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,47.csv,47,CARE-WT-21,anomaly_event,"Failure due to Rotorbrake and Hydraulic problemes - Hydraulic pump A disabeld, 2h later turbine back in production - Data shows anomaly in temp_hydraulic_oil_tank_1_average until 15.01.2023",19,False,6.0,0.0,,0.0,
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,49.csv,49,CARE-WT-33,anomaly_event,Failure 2023-04-05 03:30 - defective coupling between gear oil pump and motor,0,False,0.0,0.0,,0.0,
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,5.csv,5,CARE-WT-32,anomaly_event,WEC in failure - current measurement own consumption,204,True,138.0,0.0,246,0.22783251231527094,
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,55.csv,55,CARE-WT-50,anomaly_event,Harting plug Nacelle/HUB damaged + NCR20_HUB: Wiring blade control system,45,False,22.0,0.03285420944558522,2159,0.02426530062011324,
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,66.csv,66,CARE-WT-12,anomaly_event,"Pitchfailure - defect Beckhoffcard, Axis 2, rectified on 23/01 - Anomalie liegt aber länger an als der Fehler, Batterien waren ok",115,True,82.0,0.0,749,0.16265912305516267,
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,67.csv,67,CARE-WT-35,anomaly_event,Turbine has some issues with overpressure on the main transformer,184,False,67.0,0.025875556625346012,6063,0.014054558175989558,
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,70.csv,70,CARE-WT-23,anomaly_event,"21002 : Axis 1 DC-link voltage low, batt",0,False,0.0,0.0,,0.0,
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,76.csv,76,CARE-WT-53,anomaly_event,WEC in failure with pitch battery issues - rewiring,90,True,84.0,0.0,,0.0,
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,78.csv,78,CARE-WT-15,anomaly_event,P20_Grounding role brake disc + P20_cover-lightning-main-cabinet-hub,0,False,0.0,0.0,,0.0,
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,79.csv,79,CARE-WT-16,anomaly_event,Communication fault BK1120 in NC300,5,False,3.0,0.0,-25,0.018411598665640235,
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,81.csv,81,CARE-WT-38,anomaly_event,"Converter Failure from 17.11 12:30 - 18.11. 13:57, Fuse Filter Supply ",139,False,29.0,0.6356968215158925,75,0.3284381060116354,
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,9.csv,9,CARE-WT-55,anomaly_event,PENDING19_PREV_YAW_Grease pump defective,0,False,0.0,0.0,,0.0,
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,90.csv,90,CARE-WT-56,anomaly_event,COMMUNICATION FAULT BK1120 IN NC300 A2,44,False,12.0,0.0,1002,0.0041743294750215855,
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,91.csv,91,CARE-WT-42,anomaly_event,23020 : Axis 3 not ready-to-operate,80,False,25.0,0.00398406374501992,1260,0.00684945451214019,
Wind Farm B,Wind Farm A,FROZEN_SOURCE,0.csv,0,CARE-WT-0,anomaly_event,Generator bearing failure,986,True,136.0,0.5312742812742812,1673,0.23798455948658184,
Wind Farm B,Wind Farm A,FROZEN_SOURCE,10.csv,10,CARE-WT-10,anomaly_event,Gearbox failure,507,False,0.0,0.6582446808510638,693,0.4190651923583845,
Wind Farm B,Wind Farm A,FROZEN_SOURCE,22.csv,22,CARE-WT-21,anomaly_event,Hydraulic group,324,False,19.0,0.6489463601532567,727,0.21415598389454787,
Wind Farm B,Wind Farm A,FROZEN_SOURCE,26.csv,26,CARE-WT-0,anomaly_event,Hydraulic group,555,False,40.0,0.7867647058823529,1005,0.4256680200169955,
Wind Farm B,Wind Farm A,FROZEN_SOURCE,40.csv,40,CARE-WT-10,anomaly_event,Generator bearing failure,1442,True,95.0,0.6472752356863647,4352,0.3555193134624573,
Wind Farm B,Wind Farm A,FROZEN_SOURCE,42.csv,42,CARE-WT-10,anomaly_event,Hydraulic group,494,False,30.0,0.6825460368294636,1004,0.3580740721235501,
Wind Farm B,Wind Farm A,FROZEN_SOURCE,45.csv,45,CARE-WT-13,anomaly_event,Hydraulic group,481,True,83.0,1.0,471,0.2334515925575528,
Wind Farm B,Wind Farm A,FROZEN_SOURCE,68.csv,68,CARE-WT-11,anomaly_event,Transformer failure,365,False,18.0,0.5082498526812022,1970,0.16754003854436633,
Wind Farm B,Wind Farm A,FROZEN_SOURCE,72.csv,72,CARE-WT-21,anomaly_event,Gearbox failure,911,False,60.0,0.6289978678038379,563,0.46463454295575907,
Wind Farm B,Wind Farm A,FROZEN_SOURCE,73.csv,73,CARE-WT-0,anomaly_event,Hydraulic group,500,False,23.0,0.5735518292682927,577,0.23263724965641688,
Wind Farm B,Wind Farm A,FROZEN_SOURCE,84.csv,84,CARE-WT-13,anomaly_event,Hydraulic group,554,True,73.0,1.0,717,0.4403064583074471,
Wind Farm B,Wind Farm A,TARGET_NORMAL_CALIBRATED,0.csv,0,CARE-WT-0,anomaly_event,Generator bearing failure,584,True,315.0,0.0958994708994709,1721,0.03626813390215735,
Wind Farm B,Wind Farm A,TARGET_NORMAL_CALIBRATED,10.csv,10,CARE-WT-10,anomaly_event,Gearbox failure,79,False,0.0,0.2623456790123457,618,0.09245411284840245,
Wind Farm B,Wind Farm A,TARGET_NORMAL_CALIBRATED,22.csv,22,CARE-WT-21,anomaly_event,Hydraulic group,8,False,0.0,0.03861003861003861,333,0.003954982987757001,
Wind Farm B,Wind Farm A,TARGET_NORMAL_CALIBRATED,26.csv,26,CARE-WT-0,anomaly_event,Hydraulic group,23,False,4.0,0.0702247191011236,16,0.00031473263462688335,
Wind Farm B,Wind Farm A,TARGET_NORMAL_CALIBRATED,40.csv,40,CARE-WT-10,anomaly_event,Generator bearing failure,1271,True,225.0,0.5810377106178123,3731,0.14703538220021736,
Wind Farm B,Wind Farm A,TARGET_NORMAL_CALIBRATED,42.csv,42,CARE-WT-10,anomaly_event,Hydraulic group,93,False,7.0,0.30165912518853694,479,0.05350677392598054,
Wind Farm B,Wind Farm A,TARGET_NORMAL_CALIBRATED,45.csv,45,CARE-WT-13,anomaly_event,Hydraulic group,130,False,56.0,1.0,528,0.10196310312204353,
Wind Farm B,Wind Farm A,TARGET_NORMAL_CALIBRATED,68.csv,68,CARE-WT-11,anomaly_event,Transformer failure,9,False,0.0,0.02195121951219512,1777,0.004123832740212352,
Wind Farm B,Wind Farm A,TARGET_NORMAL_CALIBRATED,72.csv,72,CARE-WT-21,anomaly_event,Gearbox failure,38,False,27.0,0.0,,0.0,
Wind Farm B,Wind Farm A,TARGET_NORMAL_CALIBRATED,73.csv,73,CARE-WT-0,anomaly_event,Hydraulic group,143,False,26.0,0.3753443526170799,60,0.016725416758463684,
Wind Farm B,Wind Farm A,TARGET_NORMAL_CALIBRATED,84.csv,84,CARE-WT-13,anomaly_event,Hydraulic group,90,False,44.0,1.0,382,0.01907697676447494,
Wind Farm B,Wind Farm A,TARGET_SPECIFIC_REFERENCE,0.csv,0,CARE-WT-0,anomaly_event,Generator bearing failure,534,True,286.0,0.05806010928961749,1597,0.022535213124436404,
Wind Farm B,Wind Farm A,TARGET_SPECIFIC_REFERENCE,10.csv,10,CARE-WT-10,anomaly_event,Gearbox failure,70,False,0.0,0.23412698412698413,618,0.08021753908905506,
Wind Farm B,Wind Farm A,TARGET_SPECIFIC_REFERENCE,22.csv,22,CARE-WT-21,anomaly_event,Hydraulic group,0,False,0.0,0.0,,0.0,
Wind Farm B,Wind Farm A,TARGET_SPECIFIC_REFERENCE,26.csv,26,CARE-WT-0,anomaly_event,Hydraulic group,12,False,0.0,0.056818181818181816,16,0.00029899600289553916,
Wind Farm B,Wind Farm A,TARGET_SPECIFIC_REFERENCE,40.csv,40,CARE-WT-10,anomaly_event,Generator bearing failure,795,True,153.0,0.4001019367991845,3730,0.0957549497802723,
Wind Farm B,Wind Farm A,TARGET_SPECIFIC_REFERENCE,42.csv,42,CARE-WT-10,anomaly_event,Hydraulic group,75,False,6.0,0.26911076443057724,479,0.05156083367345595,
Wind Farm B,Wind Farm A,TARGET_SPECIFIC_REFERENCE,45.csv,45,CARE-WT-13,anomaly_event,Hydraulic group,92,False,46.0,1.0,501,0.06358667087143909,
