source_farm,target_farm,condition,dataset_file,event_id,turbine_id,label,fault_category,alarms_count,event_detected,max_criticality,coverage_fbeta,lead_time_steps,earliness_ws,accuracy,failure_classification
Wind Farm A,Wind Farm C,TARGET_NORMAL_CALIBRATED,12.csv,12,CARE-WT-2,anomaly_event,"10115 : Oil level error, two-pump mode + Oil Leakage Gear Oil Supply + 12019: Rotor brake B cannot be closed + P20_yaw carbon brush damaged",47,False,37.0,0.0,3259,0.017810872695085696,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,Wind Farm C,TARGET_NORMAL_CALIBRATED,15.csv,15,CARE-WT-12,anomaly_event,Randomn small failures regarding pitch resulting in a longer standstill due to a defect pitch encoder (26/02),2,False,1.0,0.0,,0.0,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,Wind Farm C,TARGET_NORMAL_CALIBRATED,35.csv,35,CARE-WT-53,anomaly_event,"Turbine had several short standstills (max 8min) with failure ""Schwingungen Umrichter Drehmomenten Level 1""",6,False,6.0,0.0,,0.0,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,Wind Farm C,TARGET_NORMAL_CALIBRATED,47.csv,47,CARE-WT-21,anomaly_event,"Failure due to Rotorbrake and Hydraulic problemes - Hydraulic pump A disabeld, 2h later turbine back in production - Data shows anomaly in temp_hydraulic_oil_tank_1_average until 15.01.2023",61,False,6.0,0.0,692,0.009948392386037565,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,Wind Farm C,TARGET_NORMAL_CALIBRATED,49.csv,49,CARE-WT-33,anomaly_event,Failure 2023-04-05 03:30 - defective coupling between gear oil pump and motor,86,False,59.0,0.0,,0.0,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,Wind Farm C,TARGET_NORMAL_CALIBRATED,55.csv,55,CARE-WT-50,anomaly_event,Harting plug Nacelle/HUB damaged + NCR20_HUB: Wiring blade control system,97,False,43.0,0.050586806960744635,2163,0.03805228426263065,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,Wind Farm C,TARGET_NORMAL_CALIBRATED,70.csv,70,CARE-WT-23,anomaly_event,"21002 : Axis 1 DC-link voltage low, batt",60,False,25.0,0.0,201,0.0026870253770571056,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,Wind Farm C,TARGET_NORMAL_CALIBRATED,78.csv,78,CARE-WT-15,anomaly_event,P20_Grounding role brake disc + P20_cover-lightning-main-cabinet-hub,5,False,3.0,0.0,230,0.008958600407209109,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,Wind Farm C,TARGET_NORMAL_CALIBRATED,79.csv,79,CARE-WT-16,anomaly_event,Communication fault BK1120 in NC300,57,False,48.0,0.0,-25,0.15037208108801642,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,Wind Farm C,TARGET_NORMAL_CALIBRATED,9.csv,9,CARE-WT-55,anomaly_event,PENDING19_PREV_YAW_Grease pump defective,19,False,19.0,0.0,-413,4.946134855932976e-05,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,11.csv,11,CARE-WT-43,anomaly_event,P20_DGUV-v3 RCD 28F1 NC310 defective + 0 : P20_Blades_Cabinet Caps missing,230,False,36.0,0.02564102564102564,2413,0.06883534555791553,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,12.csv,12,CARE-WT-2,anomaly_event,"10115 : Oil level error, two-pump mode + Oil Leakage Gear Oil Supply + 12019: Rotor brake B cannot be closed + P20_yaw carbon brush damaged",5,False,5.0,0.0,2978,0.0020458265139116204,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,15.csv,15,CARE-WT-12,anomaly_event,Randomn small failures regarding pitch resulting in a longer standstill due to a defect pitch encoder (26/02),0,False,0.0,0.0,,0.0,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,28.csv,28,CARE-WT-52,anomaly_event,P20_spinner_carbonbrush defekt + P20_Accumulators_hydraulic system,18,False,6.0,0.002101723413198823,1792,0.008203258836109483,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,33.csv,33,CARE-WT-43,anomaly_event,P20_Blade3_Grease Collector missing,18,False,12.0,0.0,1305,0.00779012059965543,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,35.csv,35,CARE-WT-53,anomaly_event,"Turbine had several short standstills (max 8min) with failure ""Schwingungen Umrichter Drehmomenten Level 1""",0,False,0.0,0.0,,0.0,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,4.csv,4,CARE-WT-34,anomaly_event,23020 : Axis 3 not ready-to-operate,86,False,62.0,0.0,,0.0,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,44.csv,44,CARE-WT-44,anomaly_event,Valve in water cooling system was left in wrong position after maintenance actions on 05-08-2020,65,False,28.0,0.0,5575,0.0009892594686263425,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,47.csv,47,CARE-WT-21,anomaly_event,"Failure due to Rotorbrake and Hydraulic problemes - Hydraulic pump A disabeld, 2h later turbine back in production - Data shows anomaly in temp_hydraulic_oil_tank_1_average until 15.01.2023",19,False,6.0,0.0,,0.0,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,49.csv,49,CARE-WT-33,anomaly_event,Failure 2023-04-05 03:30 - defective coupling between gear oil pump and motor,0,False,0.0,0.0,,0.0,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,55.csv,55,CARE-WT-50,anomaly_event,Harting plug Nacelle/HUB damaged + NCR20_HUB: Wiring blade control system,45,False,22.0,0.03285420944558522,2159,0.02426530062011324,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,67.csv,67,CARE-WT-35,anomaly_event,Turbine has some issues with overpressure on the main transformer,184,False,67.0,0.025875556625346012,6063,0.014054558175989558,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,70.csv,70,CARE-WT-23,anomaly_event,"21002 : Axis 1 DC-link voltage low, batt",0,False,0.0,0.0,,0.0,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,78.csv,78,CARE-WT-15,anomaly_event,P20_Grounding role brake disc + P20_cover-lightning-main-cabinet-hub,0,False,0.0,0.0,,0.0,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,79.csv,79,CARE-WT-16,anomaly_event,Communication fault BK1120 in NC300,5,False,3.0,0.0,-25,0.018411598665640235,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,81.csv,81,CARE-WT-38,anomaly_event,"Converter Failure from 17.11 12:30 - 18.11. 13:57, Fuse Filter Supply ",139,False,29.0,0.6356968215158925,75,0.3284381060116354,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,9.csv,9,CARE-WT-55,anomaly_event,PENDING19_PREV_YAW_Grease pump defective,0,False,0.0,0.0,,0.0,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,90.csv,90,CARE-WT-56,anomaly_event,COMMUNICATION FAULT BK1120 IN NC300 A2,44,False,12.0,0.0,1002,0.0041743294750215855,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,Wind Farm C,TARGET_SPECIFIC_REFERENCE,91.csv,91,CARE-WT-42,anomaly_event,23020 : Axis 3 not ready-to-operate,80,False,25.0,0.00398406374501992,1260,0.00684945451214019,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm A,FROZEN_SOURCE,10.csv,10,CARE-WT-10,anomaly_event,Gearbox failure,507,False,0.0,0.6582446808510638,693,0.4190651923583845,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm A,FROZEN_SOURCE,22.csv,22,CARE-WT-21,anomaly_event,Hydraulic group,324,False,19.0,0.6489463601532567,727,0.21415598389454787,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm A,FROZEN_SOURCE,26.csv,26,CARE-WT-0,anomaly_event,Hydraulic group,555,False,40.0,0.7867647058823529,1005,0.4256680200169955,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm A,FROZEN_SOURCE,42.csv,42,CARE-WT-10,anomaly_event,Hydraulic group,494,False,30.0,0.6825460368294636,1004,0.3580740721235501,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm A,FROZEN_SOURCE,68.csv,68,CARE-WT-11,anomaly_event,Transformer failure,365,False,18.0,0.5082498526812022,1970,0.16754003854436633,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm A,FROZEN_SOURCE,72.csv,72,CARE-WT-21,anomaly_event,Gearbox failure,911,False,60.0,0.6289978678038379,563,0.46463454295575907,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm A,FROZEN_SOURCE,73.csv,73,CARE-WT-0,anomaly_event,Hydraulic group,500,False,23.0,0.5735518292682927,577,0.23263724965641688,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm A,TARGET_NORMAL_CALIBRATED,10.csv,10,CARE-WT-10,anomaly_event,Gearbox failure,79,False,0.0,0.2623456790123457,618,0.09245411284840245,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm A,TARGET_NORMAL_CALIBRATED,22.csv,22,CARE-WT-21,anomaly_event,Hydraulic group,8,False,0.0,0.03861003861003861,333,0.003954982987757001,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm A,TARGET_NORMAL_CALIBRATED,26.csv,26,CARE-WT-0,anomaly_event,Hydraulic group,23,False,4.0,0.0702247191011236,16,0.00031473263462688335,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm A,TARGET_NORMAL_CALIBRATED,42.csv,42,CARE-WT-10,anomaly_event,Hydraulic group,93,False,7.0,0.30165912518853694,479,0.05350677392598054,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm A,TARGET_NORMAL_CALIBRATED,45.csv,45,CARE-WT-13,anomaly_event,Hydraulic group,130,False,56.0,1.0,528,0.10196310312204353,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm A,TARGET_NORMAL_CALIBRATED,68.csv,68,CARE-WT-11,anomaly_event,Transformer failure,9,False,0.0,0.02195121951219512,1777,0.004123832740212352,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm A,TARGET_NORMAL_CALIBRATED,72.csv,72,CARE-WT-21,anomaly_event,Gearbox failure,38,False,27.0,0.0,,0.0,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm A,TARGET_NORMAL_CALIBRATED,73.csv,73,CARE-WT-0,anomaly_event,Hydraulic group,143,False,26.0,0.3753443526170799,60,0.016725416758463684,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm A,TARGET_NORMAL_CALIBRATED,84.csv,84,CARE-WT-13,anomaly_event,Hydraulic group,90,False,44.0,1.0,382,0.01907697676447494,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm A,TARGET_SPECIFIC_REFERENCE,10.csv,10,CARE-WT-10,anomaly_event,Gearbox failure,70,False,0.0,0.23412698412698413,618,0.08021753908905506,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm A,TARGET_SPECIFIC_REFERENCE,22.csv,22,CARE-WT-21,anomaly_event,Hydraulic group,0,False,0.0,0.0,,0.0,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm A,TARGET_SPECIFIC_REFERENCE,26.csv,26,CARE-WT-0,anomaly_event,Hydraulic group,12,False,0.0,0.056818181818181816,16,0.00029899600289553916,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm A,TARGET_SPECIFIC_REFERENCE,42.csv,42,CARE-WT-10,anomaly_event,Hydraulic group,75,False,6.0,0.26911076443057724,479,0.05156083367345595,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm A,TARGET_SPECIFIC_REFERENCE,45.csv,45,CARE-WT-13,anomaly_event,Hydraulic group,92,False,46.0,1.0,501,0.06358667087143909,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm A,TARGET_SPECIFIC_REFERENCE,68.csv,68,CARE-WT-11,anomaly_event,Transformer failure,0,False,0.0,0.0,,0.0,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm A,TARGET_SPECIFIC_REFERENCE,72.csv,72,CARE-WT-21,anomaly_event,Gearbox failure,37,False,27.0,0.0,,0.0,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm A,TARGET_SPECIFIC_REFERENCE,73.csv,73,CARE-WT-0,anomaly_event,Hydraulic group,139,False,26.0,0.3725626740947075,-324,0.015154376357284486,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm A,TARGET_SPECIFIC_REFERENCE,84.csv,84,CARE-WT-13,anomaly_event,Hydraulic group,36,False,16.0,1.0,-108,0.0028657764430003924,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm C,FROZEN_SOURCE,12.csv,12,CARE-WT-2,anomaly_event,"10115 : Oil level error, two-pump mode + Oil Leakage Gear Oil Supply + 12019: Rotor brake B cannot be closed + P20_yaw carbon brush damaged",151,False,38.0,0.13329294153286883,3259,0.05970648606125273,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm C,FROZEN_SOURCE,15.csv,15,CARE-WT-12,anomaly_event,Randomn small failures regarding pitch resulting in a longer standstill due to a defect pitch encoder (26/02),8,False,0.0,0.01627339300244101,605,0.003162096129857697,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm C,FROZEN_SOURCE,35.csv,35,CARE-WT-53,anomaly_event,"Turbine had several short standstills (max 8min) with failure ""Schwingungen Umrichter Drehmomenten Level 1""",29,False,26.0,0.0,,0.0,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm C,FROZEN_SOURCE,47.csv,47,CARE-WT-21,anomaly_event,"Failure due to Rotorbrake and Hydraulic problemes - Hydraulic pump A disabeld, 2h later turbine back in production - Data shows anomaly in temp_hydraulic_oil_tank_1_average until 15.01.2023",84,False,6.0,0.22489539748953974,713,0.08810607414258836,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm C,FROZEN_SOURCE,55.csv,55,CARE-WT-50,anomaly_event,Harting plug Nacelle/HUB damaged + NCR20_HUB: Wiring blade control system,198,False,46.0,0.20724486241727622,2162,0.07129382652709537,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm C,FROZEN_SOURCE,67.csv,67,CARE-WT-35,anomaly_event,Turbine has some issues with overpressure on the main transformer,198,False,67.0,0.016979987871437233,8097,0.016293769336365685,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm C,FROZEN_SOURCE,70.csv,70,CARE-WT-23,anomaly_event,"21002 : Axis 1 DC-link voltage low, batt",203,False,51.0,0.1078079059131003,2881,0.029520214543865407,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm C,FROZEN_SOURCE,78.csv,78,CARE-WT-15,anomaly_event,P20_Grounding role brake disc + P20_cover-lightning-main-cabinet-hub,13,False,6.0,0.0,230,0.013437900610813664,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm C,FROZEN_SOURCE,79.csv,79,CARE-WT-16,anomaly_event,Communication fault BK1120 in NC300,87,False,54.0,0.23923444976076555,53,0.2193033102386451,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm C,FROZEN_SOURCE,9.csv,9,CARE-WT-55,anomaly_event,PENDING19_PREV_YAW_Grease pump defective,80,False,24.0,0.08853831294269157,2514,0.023678391320256446,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm C,TARGET_NORMAL_CALIBRATED,12.csv,12,CARE-WT-2,anomaly_event,"10115 : Oil level error, two-pump mode + Oil Leakage Gear Oil Supply + 12019: Rotor brake B cannot be closed + P20_yaw carbon brush damaged",47,False,37.0,0.0,3259,0.017810872695085696,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm C,TARGET_NORMAL_CALIBRATED,15.csv,15,CARE-WT-12,anomaly_event,Randomn small failures regarding pitch resulting in a longer standstill due to a defect pitch encoder (26/02),2,False,1.0,0.0,,0.0,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm C,TARGET_NORMAL_CALIBRATED,35.csv,35,CARE-WT-53,anomaly_event,"Turbine had several short standstills (max 8min) with failure ""Schwingungen Umrichter Drehmomenten Level 1""",6,False,6.0,0.0,,0.0,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm C,TARGET_NORMAL_CALIBRATED,47.csv,47,CARE-WT-21,anomaly_event,"Failure due to Rotorbrake and Hydraulic problemes - Hydraulic pump A disabeld, 2h later turbine back in production - Data shows anomaly in temp_hydraulic_oil_tank_1_average until 15.01.2023",61,False,6.0,0.0,692,0.009948392386037565,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm C,TARGET_NORMAL_CALIBRATED,49.csv,49,CARE-WT-33,anomaly_event,Failure 2023-04-05 03:30 - defective coupling between gear oil pump and motor,86,False,59.0,0.0,,0.0,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm C,TARGET_NORMAL_CALIBRATED,55.csv,55,CARE-WT-50,anomaly_event,Harting plug Nacelle/HUB damaged + NCR20_HUB: Wiring blade control system,97,False,43.0,0.050586806960744635,2163,0.03805228426263065,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm C,TARGET_NORMAL_CALIBRATED,70.csv,70,CARE-WT-23,anomaly_event,"21002 : Axis 1 DC-link voltage low, batt",60,False,25.0,0.0,201,0.0026870253770571056,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm C,TARGET_NORMAL_CALIBRATED,78.csv,78,CARE-WT-15,anomaly_event,P20_Grounding role brake disc + P20_cover-lightning-main-cabinet-hub,5,False,3.0,0.0,230,0.008958600407209109,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm C,TARGET_NORMAL_CALIBRATED,79.csv,79,CARE-WT-16,anomaly_event,Communication fault BK1120 in NC300,57,False,48.0,0.0,-25,0.15037208108801642,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm C,TARGET_NORMAL_CALIBRATED,9.csv,9,CARE-WT-55,anomaly_event,PENDING19_PREV_YAW_Grease pump defective,19,False,19.0,0.0,-413,4.946134855932976e-05,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm C,TARGET_SPECIFIC_REFERENCE,11.csv,11,CARE-WT-43,anomaly_event,P20_DGUV-v3 RCD 28F1 NC310 defective + 0 : P20_Blades_Cabinet Caps missing,230,False,36.0,0.02564102564102564,2413,0.06883534555791553,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm C,TARGET_SPECIFIC_REFERENCE,12.csv,12,CARE-WT-2,anomaly_event,"10115 : Oil level error, two-pump mode + Oil Leakage Gear Oil Supply + 12019: Rotor brake B cannot be closed + P20_yaw carbon brush damaged",5,False,5.0,0.0,2978,0.0020458265139116204,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm C,TARGET_SPECIFIC_REFERENCE,15.csv,15,CARE-WT-12,anomaly_event,Randomn small failures regarding pitch resulting in a longer standstill due to a defect pitch encoder (26/02),0,False,0.0,0.0,,0.0,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm C,TARGET_SPECIFIC_REFERENCE,28.csv,28,CARE-WT-52,anomaly_event,P20_spinner_carbonbrush defekt + P20_Accumulators_hydraulic system,18,False,6.0,0.002101723413198823,1792,0.008203258836109483,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm C,TARGET_SPECIFIC_REFERENCE,33.csv,33,CARE-WT-43,anomaly_event,P20_Blade3_Grease Collector missing,18,False,12.0,0.0,1305,0.00779012059965543,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm C,TARGET_SPECIFIC_REFERENCE,35.csv,35,CARE-WT-53,anomaly_event,"Turbine had several short standstills (max 8min) with failure ""Schwingungen Umrichter Drehmomenten Level 1""",0,False,0.0,0.0,,0.0,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm C,TARGET_SPECIFIC_REFERENCE,4.csv,4,CARE-WT-34,anomaly_event,23020 : Axis 3 not ready-to-operate,86,False,62.0,0.0,,0.0,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm C,TARGET_SPECIFIC_REFERENCE,44.csv,44,CARE-WT-44,anomaly_event,Valve in water cooling system was left in wrong position after maintenance actions on 05-08-2020,65,False,28.0,0.0,5575,0.0009892594686263425,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm C,TARGET_SPECIFIC_REFERENCE,47.csv,47,CARE-WT-21,anomaly_event,"Failure due to Rotorbrake and Hydraulic problemes - Hydraulic pump A disabeld, 2h later turbine back in production - Data shows anomaly in temp_hydraulic_oil_tank_1_average until 15.01.2023",19,False,6.0,0.0,,0.0,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm C,TARGET_SPECIFIC_REFERENCE,49.csv,49,CARE-WT-33,anomaly_event,Failure 2023-04-05 03:30 - defective coupling between gear oil pump and motor,0,False,0.0,0.0,,0.0,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm C,TARGET_SPECIFIC_REFERENCE,55.csv,55,CARE-WT-50,anomaly_event,Harting plug Nacelle/HUB damaged + NCR20_HUB: Wiring blade control system,45,False,22.0,0.03285420944558522,2159,0.02426530062011324,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm C,TARGET_SPECIFIC_REFERENCE,67.csv,67,CARE-WT-35,anomaly_event,Turbine has some issues with overpressure on the main transformer,184,False,67.0,0.025875556625346012,6063,0.014054558175989558,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm C,TARGET_SPECIFIC_REFERENCE,70.csv,70,CARE-WT-23,anomaly_event,"21002 : Axis 1 DC-link voltage low, batt",0,False,0.0,0.0,,0.0,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm C,TARGET_SPECIFIC_REFERENCE,78.csv,78,CARE-WT-15,anomaly_event,P20_Grounding role brake disc + P20_cover-lightning-main-cabinet-hub,0,False,0.0,0.0,,0.0,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm B,Wind Farm C,TARGET_SPECIFIC_REFERENCE,79.csv,79,CARE-WT-16,anomaly_event,Communication fault BK1120 in NC300,5,False,3.0,0.0,-25,0.018411598665640235,,not detected under the official CARE event criterion (max criticality < 72)
